name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Aerospace Inoovation Hub,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,"Research, Innovation and Incubation",All,,,,,,,,,,,,,,,,,,,,,,,,
AeroVision,,https://www.aerovision.nl/,logos/3d207d801f8218bb82b38995de9b987707a2dadcb5b5c3312819584e385c0cbb.svg,https://twitter.com/AeroVisionBV,,,,,,,,AeroVision is een onafhankelijke inkoop adviseur van (geo)informatie. Wij maken uw inzet van geo-informatie bij besluitvorming effectiever.,,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
Agentschap Telecom,,https://zeta-solutions.nl,,,,,,,,,,"Frequentieruimte is geen onuitputtelijke bron. Daarom houdt Agentschap Telecom zich bezig met het waarborgen van de beschikbaarheid van moderne en betrouwbare telecommunicatie, in en voor Nederland. En daarom is Agentschap Telecom betrokken bij het maken van (inter)nationale afspraken over het gebruik van frequenties.",,,,,,,,,,,,Government,All,,,,,,,,,,,,,,,,,,,,,,,,
AgriData Innovations,,https://agridatainnovations.nl,logos/0932c1430f16c5f8bab813f725971305e3d1b996d602ed3d87953b4fde631bfe.svg,,,,,,,,,AgriData Innovations provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Agtuall,,https://agtuall.com/,logos/245c104f434e3a92899a24df307a8d33abb3492a5dfcb8626244d3b9ae7dbff8.svg,https://twitter.com/Agtuall_,,,,,,,,Our web-based platform delivers critical insights about the extent and impact of weather-related events on agricultural production. The customizable platform provides pre-defined risk scores that help you quantify and manage your exposure. These risk scores are created using advanced AI algorithms that combine multiple data sources ranging from high resolution satellite imagery to weather and crop phenology data.,,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Airborne,,https://www.airborne.com/composites-space,logos/f90283aa5b26fd5680aed6aa59a8e6af19d97ada64d69483edf200eb688cd1a0.svg,,,,,,,,,"Airborne designs and manufactures advanced components and structures for aerospace and high‑tech applications, with capabilities in materials, machining and qualification.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Airborne Composites / Airborne aerospace,,https://www.airborne.com/,logos/ed26d066fd9b6f52076f8bcffa619427d1ba285d7bb4942315965faeaff6fb76.svg,https://twitter.com/Airborne_com,,,,,,,,,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Airbus Defence and Space Netherlands,,https://www.airbusdefenceandspacenetherlands.nl/,logos/10845c593546047312c6fdfa5b88ed43daec2aa12249c442d9ffccae7303f85b.svg,https://twitter.com/AirbusDS_NL,,,,,,,,,,,,,,,,,,,,Launchers,All,,,,,,,,,,,,,,,,,,,,,,,,
Airbus Netherlands,,https://www.airbusdefenceandspacenetherlands.nl/,logos/10845c593546047312c6fdfa5b88ed43daec2aa12249c442d9ffccae7303f85b.svg,,,,,,,,,Airbus Netherlands provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
AirHub,,https://airhub.app,logos/4c298196070ccf04be309ac09e4348f28fddf75f0f1b54827d88cc230045d421.svg,,,,,,,,,"AirHub develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Angoka,,https://angoka.io,logos/5056b4255fa69db41618b8c1909d081d8bc0f16564926f79019bf296128dc3c7.svg,,,,,,,,,"Angoka delivers security and surveillance technologies and services for critical infrastructure, mobility and public spaces, combining sensors with operational expertise.",,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Antea Group,,https://anteagroup.nl/,logos/45a20fd8ab42a0d7fd0fe037197d87aa2cd5de78c528b8b3b6b87e6de70bc16c.svg,https://twitter.com/AnteaGroupNL?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,,,,,,"Antea Group is een internationaal ingenieurs- en adviesbureau; gespecialiseerd in full-service oplossingen op het gebied van milieu, infrastructuur, stedenbouw en water.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
APP ArianeGroup,,https://app.ariane.group/,,https://twitter.com/ArianeGroup,,,,,,,,,,,,,,,,,,,,Propulsion,All,,,,,,,,,,,,,,,,,,,,,,,,
Applus RVIS,,https://applus.com/nl/,,,,,,,,,,Applus RVIS provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
AQUILO Rocket Team,,https://www.aquilodelft.com/,logos/a860402fdc78ee6b7529ae79008ae87ae0718f59a54669e742d06a27e1350ca9.svg,,,,,,,,,"A student rocketry team that designs, builds and launches rockets, providing hands‑on aerospace experience in structures, propulsion and avionics.",,,,,,,,,,,,Launchers,All,,,,,,,,,,,,,,,,,,,,,,,,
Aratos Systems,,https://aratos-systems.com/,,https://twitter.com/aratostech,,,,,,,,"Aratos Systems and Aratos Space, provide for an increasing range of added value products, services and solutions in the fields of Space & Satellites, Information & Communication, as well as Cyber Technology and Homeland Security.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
ARCADIS,,https://www.arcadis.com/,logos/cfa7cdbe2b533d57deb5d320294e970f1f1ca5eb4197ed9549bde9590e1caca0.svg,https://twitter.com/Arcadis_NL,,,,,,,,"Arcadis is een toonaangevende internationale organisatie die ontwerp-, engineering- en adviesdiensten levert voor een duurzame gebouwde en natuurlijke omgeving. Met meer dan 28.000 mensen in ruim 70 landen zetten we ons in om de leefomgeving over de hele wereld te verbeteren.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Arceon,,https://arceon.nl/,logos/792002430631ddf5829932a526e813054ffdca41e01302bc3bcb960d4a0c71f1.svg,,,,,,,,,Arceon provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
ARS Traffic & Transport Technology,,https://ars-traffic.com/,logos/a17dab0341001ea41217c5b85af3ac724cd140007781029f2b85a6072f552b76.svg,,,,,,,,,ARS Traffic & Transport Technology has been providing traffic and transport technology solutions to private and public organizations for nearly 20 years.,,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Artis Planetarium,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,Space Museums,All,,,,,,,,,,,,,,,,,,,,,,,,
ASTRON,,https://www.astron.nl/,logos/b1fcfc8f4bbd045fbcff2929c40ce6f69b4f3a0c0c4d4e9cb4170c308d648c39.svg,https://www.twitter.com/astron_nl,,,,,,,,"ASTRON is the Netherlands Institute for Radio Astronomy, ASTRON is part of the institutes organisation of NWO. Our mission is to make discoveries in radio astronomy happen. We do this by developing new and innovative technologies, operating world-class radio astronomy facilities, and pursuing fundamental astronomical research.",,,,,,,,,,,,"Research, Innovation and Incubation",All,,,,,,,,,,,,,,,,,,,,,,,,
ATG Europe,,https://www.atg-europe.com/,logos/b0d8f04acb82ebd7293125438bf88b8c395b7d132f2eafd7c21086af31d8c8e0.svg,,,,,,,,,"ATG Europe provides engineering and consulting services for space missions, including structural and thermal engineering, software and mission support for ESA and industry partners.",,,,,,,,,,,,Space Recruitment,All,,,,,,,,,,,,,,,,,,,,,,,,
Atmos,,https://atmosuav.com,logos/8925017ebe564589ce48cda9b9ad113a63caa36e270c67e72fffa3f2c3f187cb.svg,,,,,,,,,Atmos provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Avy,,https://avy.eu/,logos/f6bfdaf34637f6568284983afc9292404dbed834dc2aa6619970fbb7c7516c1a.svg,https://twitter.com/flyavy,,,,,,,,"Today’s lifesavers urgently need a middle way between cars and helicopters. Avy’s fully electric drone response network offers them an affordable, reliable and integrated solution for their missions, minus the emissions.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Bavak Security Group,,https://bavak.com,logos/467766ac62423406fae7cdd12b85ec69f80a236764b604765fcb2952ce2949ed.svg,,,,,,,,,"Bavak Security Group delivers security and surveillance technologies and services for critical infrastructure, mobility and public spaces, combining sensors with operational expertise.",,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Bayard Vertiports,,https://bayardsvertiports.com,logos/aab8cd39552725f3b188f471b2e8384b89b0a8937fb4c109681bd1de88c23955.svg,,,,,,,,,Bayard Vertiports provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Bayards Aluminium Constructies B.V.,,https://www.bayards.com/,logos/aab8cd39552725f3b188f471b2e8384b89b0a8937fb4c109681bd1de88c23955.svg,,,,,,,,,Welcome to Bayards! We are pleased to introduce you to one of the world's leading aluminium construction companies. Our company is active in many different industries and many different projects.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Bioclear Earth,,https://bioclearearth.nl/,logos/4556250f84e076d2ba76039d03368e57d677c1b3b114922b9b7838f475f96095.svg,,,,,,,,,"To create innovative solutions that make the world cleaner, more sustainable and safer using the power of nature: that is what Bioclear stands for.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Birds.AI,,https://birds.ai/,logos/17d46d39250e95936efe457add08f7a7c963badba04868def0020e9d21376f8c.svg,,,,,,,,,"At Birds.ai, we fully utilise Computer Technology to tackle Humanity’s Challenges. Our toolset contains Artificial Intelligence, Machine Learning, and Predictive Analytics. The key features of Birds.ai technology are:",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
Blaauw Space Affairs,,https://zeta-solutions.nl,,,,,,,,,,"Space Affairs, Business Strategy, Innovation, NewSpace, Communication & Outreach, Public & Private Organisations, (Inter-) national Cooperations, Personal Coaching",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Black Holes,,https://www.black-holes.eu/,logos/66b5f2d8ac5e3edd20022839ad12018be62ee40fbdb80f6d55a8f0a8b218223e.svg,,,,,,,,,The world's leading consultancy company in space law,,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Blackshore,,https://www.blackshore.eu/,logos/9a18ab2b3d3f152470481dc32df0317f88dd726739442527546a0625260eb350.svg,,,,,,,,,"BlackShore delivers accurate, up-to-date and low-cost map products based on the crowd-sourced interpretation of satellite data and aerial imagery. We map what matters most in the world. Topics range from forest monitoring to disaster relief and food security.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
BOC MetOcean,,https://www.bocmetocean.com/,,,,,,,,,,"Weather and oceanographic services for design, planning and support of operations worldwide",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Boesadvies,,http://boesadvies.nl/,,,,,,,,,,Space and Aviation -consulting - public affairs - public funding -contact henk@boesadvies.nl,,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Bradford Space,,https://www.bradford-space.com/,logos/10a10bdad89d3ef6fedb41fece4811117dafd567a844c41546b1c1f902f19248.svg,https://twitter.com/Bradford_Space,,,,,,,,Bradford Space is the most capable space company you’ve probably never heard of. We are a high-tech developer and manufacturer that has been innovating the space industry for over three decades. Bradford has over 35 years’ experience developing and manufacturing state-of-the-art in-orbit systems and components.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
BZ Ingenieurs & Managers,,https://www.bzim.nl/,logos/f1f3f5c4c1e8d40fed2bb3ebaa4dc2343bd401fd7b1666857fe6f835d0e7cf1c.svg,,,,,,,,,"BZ voert deskundig onderzoek uit, geeft onderbouwd advies en begeleidt projecten op gebied van waterveiligheid en waterbeheer. We doen dit vanuit een technische en organisatorische invalshoek. Want bij ons werken ingenieurs met een brede blik en projectmanagers met een technische achtergrond.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Caeli,,https://www.caeli.nl/,logos/cb8a6139aadd6da74c4647aaa5d1cf5f6e9dafc952cbcfb7bc162043b4977143.svg,https://twitter.com/Caeli_lucht,,,,,,,,Caeli provides near real-time satellite data that provides insight into the composition of the air. With this data Caeli literally maps out the air quality. This map provides insight into the average values of gas in finely meshed areas and also shows local sources of pollution.,,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Capable BV,,https://capable.nl/,,,,,,,,,,We develop customer-specific specialty cables and connectors as well as systems for a broad diversity of applications in high-tech environments,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Carble,,https://www.carble.co/,,,,,,,,,,"Carble helps coffee brands understand how much carbon is stored by their farmers, and rewards them for storing even more. Carble’s approach combines the precision of manual field measurements with the scalability of aerial analysis and digital payments. The result: the most scalable, accurate and effective way to reduce coffee’s climate footprint ánd poverty with a single investment.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Carthago Consultancy,,http://www.carthago.nl/,logos/f20c14aabb0b23d10e2260b9d6248616d8a6c3c41206846d13a8e36b0d5988ab.svg,,,,,,,,,"During 25 years as an integrated water management consultant, I came to realize the importance of the interaction between the engineering world and the human world of livelihood of local communities.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Celestia Satellite Test & Simulation BV,,https://celestia-sts.com/,,,,,,,,,,,,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Celestia STS,,http://celestia-sts.com,logos/8e45eb3bcb4e3be156c933a1b5ca44265602db86277fc73878656c3953c51573.svg,,,,,,,,,"Celestia STS delivers RF, antenna and payload test systems for satellites and launchers, supporting ESA, primes and operators.",,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
CGI Nederland,,https://www.cgi.com/nl/nl/ruimtevaart,logos/a313eb091065cc8fa886f5bb9c9495e6a192d40b9c23d372d944836234ffab5f.svg,https://twitter.com/cgi_nl,,,,,,,,"CGI heeft tientallen jaren ervaring in het ontwikkelen en beveiligen van complexe, missiekritische ruimtevaartapplicaties. Als erkend thought leader werken we nauw samen met de European Space Agency (ESA). Gebruikmakend van satellietdata, ontwikkelen we commerciële toepassingen voor verschillende markten.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
Cittamap,,https://cittamap.com/,,https://twitter.com/cittamap,,,,,,,,"We provide data insights to create climate resilient infrastructure, using geospatial AI, and nature based adaptation solutions integrated into your workflow.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Claassens Defense & Space Consultancy,,https://zeta-solutions.nl,,,,,,,,,,With over 40 years of experience initiated a consultancy firm to help interested parties start working on Defense and Space market,,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Clemessy,,https://www.clemessy.com/en/market-expertise/space,logos/90e09a964fa538fedc9b69aa97d1b789b93fe10bfb1c3989aac0812a400934c9.svg,,,,,,,,,Clemessy provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Cobra Groeninzicht,,https://www.cobra-groeninzicht.nl/,logos/3502c6cd0761d17ef4955c8d6f59c96274cbf52b1c3dd0f1322d4ec5484a945a.svg,,,,,,,,,"Cobra is een ingenieursbureau van aanpakkers en doorzetters. Wij werken door heel Nederland. Voor gemeenten, provincies, waterschappen, bedrijven, ontwikkelaars en non-profit organisaties. Inzicht geven in de groene leefomgeving van morgen, daar stropen wij iedere dag onze mouwen voor op.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Collins Aerospace (Dutch Thermoplastcs Components),,https://zeta-solutions.nl,,https://twitter.com/collinsaero,,,,,,,,"Through its acquisition of Dutch Thermoplastic Components, Collins Aerospace has for more than 20 years, operated in the epicenter of thermoplastic composite technology.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Cosine,,http://cosine.nl,logos/9043cb377e846f33659013ca2567658345e71b7836c839bda053585405137d22.svg,,,,,,,,,"cosine develops optical payloads and sensors for Earth observation and science missions, from design and assembly to calibration and verification.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Cosine Measurement Systems,,https://www.cosine.nl/,logos/9043cb377e846f33659013ca2567658345e71b7836c839bda053585405137d22.svg,,,,,,,,,"cosine is a Dutch company that develops and builds optical and in-situ measurement systems for space, air and ground use. Based in the Netherlands, our building houses cleanrooms, assembly, testing and production facilities.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Dacom,,https://www.dacom.nl/,logos/d8533d671d263d19d3df98d69b5edced9c4827dda82621265671a83f02d5870a.svg,https://twitter.com/DacomNederland,,,,,,,,Wij geven boeren inzicht in data over hun teelt en percelen. Zo maken onze klanten dagelijks betere teeltbeslissingen.,,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Datacraft,,https://datacraft.nl/,,,,,,,,,,"Independent professional in the field of Earth observation and geo-information services as business developer, innovation manager and proposal manager. I help end-users of Earth observation data, geo-information providers and value adders",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
Dawn Aerospace,,https://www.dawnaerospace.com/,logos/e6429e2645fa21b8b9ba85eb0a9c83cdbe546c8d58eb526d1cec0b95a0e1cb38.svg,https://twitter.com/DawnAerospace,,,,,,,,Green propulsion that every satellite can use,,,,,,,,,,,,Propulsion,All,,,,,,,,,,,,,,,,,,,,,,,,
Dedicated Drones,,https://dedicateddrones.nl,,,,,,,,,,"Dedicated Drones develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Delfly,,https://delfly.nl,logos/3b02f0d7e302e3b30eb5f50f2c606b0f274f82d9a87770c0e5c66111e1125387.svg,,,,,,,,,Delfly provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Delft Aerospace Rocket Engineering,,https://dare.tudelft.nl/,logos/4a7225baefcc81dd8365ae02a43cb55eefdd9a50907f2b7b3db991854ed24111.svg,,,,,,,,,Delft Aerospace Rocket Engineering provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Delft Dynamics,,https://delftdynamics.nl,logos/91e7014508f5dc8a835472ef27047f569766becb936c2e5dad5c29ab25822207.svg,,,,,,,,,"Delft Dynamics develops and delivers professional UAV systems and tethered drone solutions for security, inspection and situational awareness.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Delta-Utec,,https://www.delta-utec.nl/,logos/28ef832aae80eed640f039350bdae8fd69dfcc657e3afdd32a69f1fe21e5a5ce.svg,,,,,,,,,"Delta-Utec is a Dutch space technology R&D company specialized in satellite (systems) design, systems engineering, simulations and space education.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Deltares,,https://www.deltares.nl/,logos/0008c3fceab00d75e1bf225e187b9c7d5c3ad4c50003f2d4dd68772bd3d742bc.svg,https://www.twitter.com/DeltaresNL,,,,,,,,Deltares is een onafhankelijk instituut voor toegepast onderzoek op het gebied van water en ondergrond.,,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
DEMCON,,https://demcon.com/nl/market/aerospace/,logos/023c89642c17b85dd08f511f259d0d9b4996b131ca0af89ee989c8ad9ea3112a.svg,,,,,,,,,DEMCON provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Demcon-Kryoz,,https://www.demcon-kryoz.nl/,logos/3d4fd0c558226271780558d7d150412868bd42a7f8be4f07fab52aa440722ed5.svg,,,,,,,,,DEMCON kryoz: the market standard in custom and off-the-shelf innovative cooling systems.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
DJI Europe,,https://www.dji.com/nl,logos/283ad7216dcaa3baa0acbd78f087d58bc2ba24aa2b303a2b9ee0ccd5b3948934.svg,,,,,,,,,DJI Europe provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Dotspace Foundation,,https://groundstation.space,logos/dfa5b0edfd9813d1f1b1ed489da7b65aac78b156af105aa09a09b6b23f03421a.svg,https://twitter.com/dot_space,,,,,,,,"dotSPACE is a not-for-profit foundation. An open-innovation network for geodata-based innovation. We are focused on education, exploration & creation with remote sensing technologies. In today’s data-driven world, it is important to explore the possibilities and the future opportunities of remote sensing. We exchange knowledge and ideas, foster entrepreneurship and collaborate to develop new initiatives. The foundation supports development of new solutions and pushes the boundaries of what is possible with earth observation data.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
DroneVolt,,https://dronevolt.nl,,,,,,,,,,"DroneVolt develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Drone Academy,,https://dutchdroneacademy.com,logos/f51483882024bad886175c54e30a3552d08e0ff6be83f7d2cd85e56756cb7ea0.svg,,,,,,,,,"Dutch Drone Academy develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Drone Company,,https://ddc.works,logos/0011b5f060411f9d55a5da7d9a0fb6269c57d2ba6925a3b4aaae72e45967efa7.svg,,,,,,,,,"Dutch Drone Company develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
